ligue,journee,date,heure,equipe1,equipe2,score_equipe1_final,score_equipe2_final
fr.1,Matchday 7,2024-10-06,17:00,RC Strasbourg Alsace,Racing Club de Lens,2,2
fr.1,Matchday 7,2024-10-06,17:00,Stade de Reims,Montpellier HSC,4,2
fr.1,Matchday 7,2024-10-06,20:45,OGC Nice,Paris Saint-Germain FC,1,1
fr.1,Matchday 8,2024-10-18,20:45,AS Monaco FC,Lille OSC,0,0
fr.1,Matchday 8,2024-10-19,17:00,Stade Brestois 29,Stade Rennais FC 1901,1,1
fr.1,Matchday 8,2024-10-19,19:00,AS Saint-Étienne,Racing Club de Lens,0,2
fr.1,Matchday 8,2024-10-19,21:00,Paris Saint-Germain FC,RC Strasbourg Alsace,4,2
fr.1,Matchday 8,2024-10-20,15:00,Le Havre AC,Olympique Lyonnais,0,4
fr.1,Matchday 8,2024-10-20,17:00,AJ Auxerre,Stade de Reims,2,1
fr.1,Matchday 8,2024-10-20,17:00,Toulouse FC,Angers SCO,1,1
fr.1,Matchday 8,2024-10-20,17:00,FC Nantes,OGC Nice,1,1
fr.1,Matchday 8,2024-10-20,20:45,Montpellier HSC,Olympique de Marseille,0,5
fr.1,Matchday 9,2024-10-25,20:45,Stade Rennais FC 1901,Le Havre AC,1,0
fr.1,Matchday 9,2024-10-26,17:00,Angers SCO,AS Saint-Étienne,4,2
fr.1,Matchday 9,2024-10-26,19:00,Stade de Reims,Stade Brestois 29,1,2
fr.1,Matchday 9,2024-10-26,21:00,Racing Club de Lens,Lille OSC,0,2
fr.1,Matchday 9,2024-10-27,15:00,Olympique Lyonnais,AJ Auxerre,2,2
fr.1,Matchday 9,2024-10-27,17:00,OGC Nice,AS Monaco FC,2,1
fr.1,Matchday 9,2024-10-27,17:00,Montpellier HSC,Toulouse FC,0,3
fr.1,Matchday 9,2024-10-27,17:00,RC Strasbourg Alsace,FC Nantes,3,1
fr.1,Matchday 9,2024-10-27,20:45,Olympique de Marseille,Paris Saint-Germain FC,0,3
fr.1,Matchday 10,2024-11-01,19:00,AS Monaco FC,Angers SCO,0,1
fr.1,Matchday 10,2024-11-01,21:00,Lille OSC,Olympique Lyonnais,1,1
fr.1,Matchday 10,2024-11-02,17:00,Paris Saint-Germain FC,Racing Club de Lens,1,0
fr.1,Matchday 10,2024-11-02,19:00,Stade Brestois 29,OGC Nice,0,1
fr.1,Matchday 10,2024-11-02,21:00,AS Saint-Étienne,RC Strasbourg Alsace,2,0
fr.1,Matchday 10,2024-11-03,15:00,Toulouse FC,Stade de Reims,1,0
fr.1,Matchday 10,2024-11-03,17:00,AJ Auxerre,Stade Rennais FC 1901,4,0
fr.1,Matchday 10,2024-11-03,17:00,Le Havre AC,Montpellier HSC,1,0
fr.1,Matchday 10,2024-11-03,20:45,FC Nantes,Olympique de Marseille,1,2
fr.1,Matchday 11,2024-11-08,20:45,Olympique de Marseille,AJ Auxerre,1,3
fr.1,Matchday 11,2024-11-09,17:00,RC Strasbourg Alsace,AS Monaco FC,1,3
fr.1,Matchday 11,2024-11-09,19:00,Racing Club de Lens,FC Nantes,3,2
fr.1,Matchday 11,2024-11-09,21:00,Angers SCO,Paris Saint-Germain FC,2,4
fr.1,Matchday 11,2024-11-10,15:00,OGC Nice,Lille OSC,2,2
fr.1,Matchday 11,2024-11-10,17:00,Montpellier HSC,Stade Brestois 29,3,1
fr.1,Matchday 11,2024-11-10,17:00,Le Havre AC,Stade de Reims,0,3
fr.1,Matchday 11,2024-11-10,17:00,Stade Rennais FC 1901,Toulouse FC,0,2
fr.1,Matchday 11,2024-11-10,20:45,Olympique Lyonnais,AS Saint-Étienne,1,0
fr.1,Matchday 12,2024-11-22,19:00,AS Monaco FC,Stade Brestois 29,3,2
fr.1,Matchday 12,2024-11-22,21:00,Paris Saint-Germain FC,Toulouse FC,3,0
fr.1,Matchday 12,2024-11-23,17:00,Racing Club de Lens,Olympique de Marseille,1,3
fr.1,Matchday 12,2024-11-23,19:00,AS Saint-Étienne,Montpellier HSC,1,0
fr.1,Matchday 12,2024-11-23,21:00,Stade de Reims,Olympique Lyonnais,1,1
fr.1,Matchday 12,2024-11-24,15:00,Lille OSC,Stade Rennais FC 1901,1,0
fr.1,Matchday 12,2024-11-24,17:00,FC Nantes,Le Havre AC,0,2
fr.1,Matchday 12,2024-11-24,17:00,AJ Auxerre,Angers SCO,1,0
